x, sol1, sol2
0.00309169, 479.562, 56.2109
0.00309569, 479.563, 56.2081
0.00309969, 479.564, 56.2054
0.00310369, 479.564, 56.2026
0.00310769, 479.565, 56.1999
0.00311169, 479.566, 56.1971
0.00311569, 479.566, 56.1944
0.00311969, 479.567, 56.1917
0.00312369, 479.568, 56.1889
0.00312769, 479.569, 56.1862
0.00313169, 479.569, 56.1834
0.00313569, 479.57, 56.1807
0.00313969, 479.571, 56.178
0.00314369, 479.572, 56.1752
0.00314769, 479.572, 56.1725
0.00315168, 479.573, 56.1697
0.00315568, 479.574, 56.167
0.00315968, 479.575, 56.1643
0.00316368, 479.575, 56.1615
0.00316768, 479.576, 56.1588
0.00317168, 479.577, 56.1561
0.00317568, 479.578, 56.1533
0.00317968, 479.579, 56.1506
0.00318368, 479.579, 56.1478
0.00318768, 479.58, 56.1451
0.00319168, 479.581, 56.1424
0.00319568, 479.582, 56.1396
0.00319968, 479.583, 56.1369
0.00320368, 479.583, 56.1342
0.00320768, 479.584, 56.1314
0.00321168, 479.585, 56.1287
0.00321568, 479.586, 56.126
0.00321968, 479.587, 56.1232
0.00322368, 479.588, 56.1205
0.00322768, 479.589, 56.1178
0.00323168, 479.589, 56.115
0.00323568, 479.59, 56.1123
0.00323968, 479.591, 56.1096
0.00324368, 479.592, 56.1068
0.00324768, 479.593, 56.1041
0.00325167, 479.594, 56.1014
0.00325567, 479.595, 56.0987
0.00325967, 479.596, 56.0959
0.00326367, 479.596, 56.0932
0.00326767, 479.597, 56.0905
0.00327167, 479.598, 56.0877
0.00327567, 479.599, 56.085
0.00327967, 479.6, 56.0823
0.00328367, 479.601, 56.0796
